Name,|V|,|M|,Randomized,Greedy,Semi-Greedy,Local-Search,GRASP,KnownBest
G1,800,19176,9582.5,11047,11096,11401,11401,12078
G2,800,19176,9581.08,10956,11067,11419,11419,12084
G3,800,19176,9577.14,11005,11185,11380,11380,12077
G4,800,19176,9594.48,11043,11182,11435,11435,0
G5,800,19176,9581.48,11012,11154,11396,11396,0
G6,800,19176,69.12,1578,1556,1892,1892,0
G7,800,19176,-68.64,1303,1452,1630,1744,0
G8,800,19176,-77.18,1385,1358,1712,1788,0
G9,800,19176,-47.24,1473,1475,1802,1802,0
G10,800,19176,-76.06,1309,1427,1662,1729,0
G11,800,1600,16.16,422,420,450,450,627
G12,800,1600,-1.88,400,398,428,446,621
G13,800,1600,16.44,436,428,464,464,645
G14,800,4694,2342.68,2856,2929,2961,2969,3187
G15,800,4661,2335.72,2841,2917,2940,2940,3169
G16,800,4672,2338.6,2852,2911,2939,2945,0
G17,800,4667,2337.38,2848,2932,2966,2966,0
G18,800,4694,28.28,689,754,853,853,0
G19,800,4661,-57.86,610,719,778,778,0
G20,800,4672,-27.28,599,616,743,759,0
G21,800,4667,-35.86,628,654,766,766,0
G22,2000,19990,9999.16,12341,12607,12880,12906,14123
G23,2000,19990,9992.98,12327,12645,12960,12960,14129
G24,2000,19990,9987.68,12316,12704,12921,12985,14131
G25,2000,19990,9977.24,12389,12672,12952,12975,0
G26,2000,19990,9990.46,12370,12626,12857,12928,0
G27,2000,19990,-36.32,2220,2524,2916,2916,0
G28,2000,19990,-48.5,2285,2285,2778,2778,0
G29,2000,19990,18.32,2405,2464,2800,2868,0
G30,2000,19990,51.2,2363,2559,2930,2951,0
G31,2000,19990,-48.4,2277,2328,2809,2825,0
G32,2000,4000,9.6,1062,1028,1086,1122,1560
G33,2000,4000,-18.72,1036,1010,1076,1112,1537
G34,2000,4000,-26.48,1002,1088,1142,1142,1541
G35,2000,11778,5888.42,7186,7361,7438,7466,8000
G36,2000,11766,5889.44,7151,7372,7447,7451,7996
G37,2000,11785,5901.9,7163,7374,7450,7458,8009
G38,2000,11779,5889.56,7177,7354,7455,7455,0
G39,2000,11778,25.32,1627,1689,1951,2014,0
G40,2000,11766,-48,1617,1720,1959,2077,0
G41,2000,11785,-10.1,1593,1712,2004,2019,0
G42,2000,11779,54.38,1646,1837,2119,2119,0
G43,1000,9990,5005.44,6204,6353,6473,6483,7027
G44,1000,9990,4992.84,6180,6355,6434,6441,7022
G45,1000,9990,4995.1,6203,6329,6436,6456,7020
G46,1000,9990,4991.68,6154,6357,6426,6515,0
G47,1000,9990,4995.64,6141,6315,6445,6445,0
G48,3000,6000,2998.04,5862,6000,6000,6000,6000
G49,3000,6000,2995.16,5742,6000,6000,6000,6000
G50,3000,6000,3005.96,5822,5860,5860,5868,5988
G51,1000,5909,2961.74,3587,3696,3731,3731,0
G52,1000,5916,2962.36,3584,3693,3731,3731,0
G53,1000,5914,2956.1,3602,3698,3733,3733,0
G54,1000,5916,2957.2,3604,3665,3715,3745,0
